,ASSET_DATABASE_ID,LAST_CLOSE_VALUE_IN_CURR
330,2023,0.42
331,2094,3.61763704460225
332,2055,79.8
333,2056,41.581
334,2057,346.28034
335,2058,21.65
336,2059,127.25
337,2060,0.9295
338,1562,12.995
339,2095,81.97991147426887
340,2185,939.33
341,1563,1359.78
342,2096,136.16785835882868
343,1566,5523.455907386832
344,1567,8616.14
345,1569,142.16
346,1571,83.61
347,2098,0.035750766087834
348,1572,104.372
349,1573,324.1
350,1574,39.108
351,1577,6.001
352,2186,19521.9
353,2100,129.81784133465626
354,2187,217.8889
355,2188,216.53
356,2189,226.5138
357,2190,97.22
358,2191,144.2018
359,2192,105.97948586990347
360,1578,194.45
361,1579,30.21
362,1582,283.97
363,2101,26.94926796049582
364,1583,2.27
365,2102,109.73782771532284
366,2103,542.8072863464491
367,1585,57.0
368,1587,36.785
369,1588,14.435
370,1590,25.8
371,1594,40.97
372,1595,168.25
373,2104,40.77540006808445
374,1596,266.02
375,1597,10322.15
376,1598,50.12
377,2105,202.65577119503618
378,1603,144.4
379,2109,0.0380490296220519
380,1605,49.76
381,1606,94.66
382,1568,10281.707524681966
383,1607,339.49608443980264
384,1608,342.33912155250187
385,1609,3900.037453182349
386,2193,687.112700033842
387,1612,250.25578821919618
388,1616,1423.9530132784282
389,1617,166.33469526722956
390,2194,3900.034048347484
391,1618,167.1
392,1619,4.296
393,1620,1013.28
394,2110,86.40619679942928
395,2111,27.80047667687282
396,1622,136.77284827318664
397,1623,2.2057755909243
398,1624,5.07
399,2112,39.84508001360737
400,1728,383.92
401,1729,195683.3
402,2113,34.26966292133802
403,1730,15.5
404,1731,74.7
405,1732,117938.9531
406,1733,12570.82
407,1735,32289.34
408,1737,502.69
409,2115,86.45726932241189
410,1738,97.82
411,1739,14.06
412,2116,84.61014640787381
413,1740,24.075
414,2161,60.64322013543036
415,1741,29.83
416,1742,473.4776983314886
417,1743,147.29417773233573
418,2117,69.62036091247484
419,1744,65.07
420,1745,112.85
421,1749,83.07
422,1750,11.425
423,1753,21.745
424,2195,1786.9679945517273
425,2196,3373.425263873689
426,1756,62.34
427,1758,39.955
428,1759,73.47
429,1760,72.62
430,1763,57.73
431,1764,113.9
432,2119,37.888198758718005
433,2120,23.328224571048
434,1765,96.763
435,1771,36.16
436,1772,94.83
437,1773,88.99
438,2197,322.5995914197192
439,1776,14.865
440,1777,358.29
441,1778,107.8
442,1779,1624.31
443,1781,9.188
444,1782,11.175348995570358
445,1784,43.03
446,1786,2788.57
447,1787,1994.9
448,1788,251.33
449,1789,40.485
450,1791,20.39
451,1792,67.2
452,1793,17.67
453,1794,131.8
454,1940,8.9
455,1906,24.2
456,2097,24.25093632958073
457,1879,3.78
458,1997,9.46
459,1991,1.0
460,2106,40.73033707863945
461,1984,129.9
