,ASSET_DATABASE_ID,TYPE
322,1557,INDEX
323,2184,INDEX
324,1559,INDEX
325,2050,STOCK
326,2051,STOCK
327,1503,FUND
328,2052,STOCK
329,2053,STOCK
330,2023,STOCK
331,2094,STOCK
332,2055,STOCK
333,2056,STOCK
334,2057,STOCK
335,2058,STOCK
336,2059,STOCK
337,2060,STOCK
338,1562,STOCK
339,2095,STOCK
340,2185,INDEX
341,1563,FUND
342,2096,STOCK
343,1566,INDEX
344,1567,FUND
345,1569,FUND
346,1571,STOCK
347,2098,STOCK
348,1572,STOCK
349,1573,STOCK
350,1574,FUND
351,1577,STOCK
352,2186,INDEX
353,2100,STOCK
354,2187,INDEX
355,2188,INDEX
356,2189,INDEX
357,2190,INDEX
358,2191,INDEX
359,2192,INDEX
360,1578,STOCK
361,1579,STOCK
362,1582,FUND
363,2101,STOCK
364,1583,STOCK
365,2102,STOCK
366,2103,STOCK
367,1585,STOCK
368,1587,STOCK
369,1588,STOCK
370,1590,FUND
371,1594,STOCK
372,1595,STOCK
373,2104,STOCK
374,1596,FUND
375,1597,FUND
376,1598,STOCK
377,2105,STOCK
378,1603,STOCK
379,2109,STOCK
380,1605,FUND
381,1606,FUND
382,1568,FUND
383,1607,INDEX
384,1608,INDEX
385,1609,INDEX
386,2193,INDEX
387,1612,INDEX
388,1616,INDEX
389,1617,INDEX
390,2194,INDEX
391,1618,STOCK
392,1619,STOCK
393,1620,FUND
394,2110,STOCK
395,2111,STOCK
396,1622,INDEX
397,1623,INDEX
398,1624,STOCK
399,2112,STOCK
400,1728,FUND
401,1729,FUND
402,2113,STOCK
403,1730,STOCK
404,1731,STOCK
405,1732,FUND
406,1733,FUND
407,1735,FUND
408,1737,FUND
409,2115,STOCK
410,1738,STOCK
411,1739,STOCK
412,2116,STOCK
413,1740,STOCK
414,2161,FUND
415,1741,STOCK
416,1742,INDEX
417,1743,INDEX
418,2117,STOCK
419,1744,STOCK
420,1745,FUND
421,1749,STOCK
422,1750,STOCK
423,1753,STOCK
424,2195,INDEX
425,2196,INDEX
426,1756,STOCK
427,1758,STOCK
428,1759,STOCK
429,1760,STOCK
430,1763,STOCK
431,1764,STOCK
432,2119,STOCK
433,2120,STOCK
434,1765,STOCK
435,1771,STOCK
436,1772,STOCK
437,1773,STOCK
438,2197,INDEX
439,1776,STOCK
440,1777,FUND
441,1778,FUND
442,1779,FUND
443,1781,STOCK
444,1782,STOCK
445,1784,STOCK
446,1786,FUND
447,1787,FUND
448,1788,FUND
449,1789,STOCK
450,1791,STOCK
451,1792,STOCK
452,1793,STOCK
453,1794,STOCK
454,1940,STOCK
455,1906,STOCK
456,2097,STOCK
457,1879,STOCK
458,1997,STOCK
459,1991,STOCK
460,2106,STOCK
461,1984,STOCK
